sample_number,ID,species_or_type,sample_date,plot_name,phenophase,fractional_cover_class,Notes,geology,plot_type,LWC,CFR,chl_area,LMA,area(m2),LWC(mol.m-2),nitrogen,phosphorus,magnesium,potassium,calcium,sulfur,boron,iron,manganese,copper,zinc,aluminum,sodium,hemicellulose,cellulose,lignin,d13C,carbon,d15N,%N,phenolics,phenolics_%,sucrose_mg_g,glucose_mg_g,fructose_mg_g,sucrose_%,glucose_%,fructose_%,sugars,sugars_%,sample_month,pft
21,S13,Quercus agrifolia - Coast live oak,2/23/2022,DPA-002,Full leaf out,75-100% cover,,Tm,Tree,43.35,1.78,73.9,176.5534,0.011256085,7.499320809,15,1.35,3.29,4.3,10.8,1.11,28.9,65.4,211.9,3.5,41.2,63.2,608.3,169.9,242,188.1,,,,,71.3954,7.1395,11.72,17.57,4.75,1.17,1.76,0.47,34.04,3.4,2,evergreen broadleaf
6,S70,Quercus agrifolia - Coast live oak,2/23/2022,DPA-003,Full leaf out,75-100% cover,,Tm,Tree,44.03,1.8,75.2,192.3866,0.010714883,8.400826531,13.8,1.02,2.48,4.3,6,1.05,30.7,66.9,59.6,3.2,11.1,71.6,697.3,194,190,158,,,,,93.6661,9.3666,11.64,18.68,5.39,1.16,1.87,0.54,35.71,3.57,2,evergreen broadleaf
126,S127,Artemisia californica - California sagebrush,3/3/2022,DPA-004,Full leaf out,50-75% cover,,Tsq,Shrub,75.67,1.32,44.4,65.4039,0.003657274,11.28923148,23.3,3.63,2.94,20.2,9.3,2.28,33.3,91.5,123.5,8,24.1,52.4,12201.6,184,142,70,,,,,48.9893,4.8989,10.39,11.6,12.75,1.04,1.16,1.27,34.74,3.47,3,shrub
128,S130,Salix lasiolepis - Arroyo willow,3/3/2022,DPA-005,Full leaf out,75-100% cover,,Tsq,Shrub,58.03,1.32,44.5,95.9852,0.01415114,7.36547082,19.7,2.85,2.85,14.8,8.3,2.77,30.4,35.5,15.5,5.6,64.3,14.4,639.2,82.1,68,117.9,,,,,83.132,8.3132,16.36,21.34,17.91,1.64,2.13,1.79,55.61,5.56,3,deciduous broadleaf
129,S136,Salix lasiolepis - Arroyo willow,3/3/2022,DPA-006,Full leaf out,75-100% cover,,Tsq,Shrub,60.66,1.4,49.7,101.7555,0.011663252,8.710531177,24.4,2.86,3.28,10.7,9.2,2.43,43.2,70.9,16.2,9,84.3,41.7,2144.8,107.8,84,102.2,-26.78,544.2,3.18,2.66,99.2339,9.9234,28.24,30.64,41.94,2.82,3.06,4.19,100.82,10.07,3,deciduous broadleaf
130,S139,Artemisia californica - California sagebrush,3/3/2022,DPA-007,,1-10% cover,,Tsq,Shrub,70.93,1.2,37.3,93.5234,0.002751183,12.66480079,23.3,2.99,3.84,14.6,11.2,2.82,58.7,200,229.6,5.3,21.3,185.1,16041.3,145.8,144,76.2,-27.16,471.9,2,2.66,60.3616,6.0362,17.09,9.21,26.85,1.71,0.92,2.69,53.15,5.32,3,shrub
144,S139,Encelia californica - California brittlebrush,3/3/2022,DPA-007,"Full leaf out, Flowers",50-75% cover,,Tsq,Shrub,77.97,1.25,39.9,59.601,0.014191037,11.71203618,31.5,2.72,2.53,6.4,6.1,1.5,25.6,48.1,47.5,6.6,12.2,25.1,161.9,210,152,36,-27.59,454.3,2.3,3.53,16.7502,1.675,15.8,22.41,22.03,1.58,2.24,2.2,60.24,6.02,3,shrub
164,S145,Quercus agrifolia - Coast live oak,3/3/2022,DPA-008,Full leaf out,75-100% cover,,Tm,Tree,46.72,1.39,49.1,181.2217,0.011970973,8.822339988,16.3,0.91,4.47,3.9,5.8,0.89,71,89.8,89.4,3.7,9.9,91.2,33.2,184,232,144,-26.71,540.7,-0.29,1.6,90.8794,9.0879,16.16,27.5,15.75,1.62,2.75,1.58,59.41,5.95,3,evergreen broadleaf
351,S412,Quercus agrifolia - Coast live oak,3/23/2022,DPA-008,Full leaf out,75-100% cover,,Tm,Tree,40.17,1.38,48.5,186.7438,0.008461325,6.959880802,15,1.21,2.38,4.6,7.6,1.14,29,60.2,212.7,6.2,45,34.4,147.3,189.7,232,136.3,-24.98,532.3,1.35,1.78,79.2004,7.92,7.15,16.33,17.46,0.71,1.63,1.75,40.94,4.09,3,evergreen broadleaf
146,S148,Quercus agrifolia - Coast live oak,3/3/2022,DPA-009,Full leaf out,75-100% cover,,Tm,Tree,66.53,1.57,60.6,169.5635,0.012487357,18.71268159,15.1,0.8,4.76,3.2,6.4,0.92,52.2,181.2,101.6,5.9,11.1,140.5,66.7,192.1,194,117.9,-25.48,533.9,0.65,1.78,71.8779,7.1878,17.35,22.12,18.36,1.74,2.21,1.84,57.83,5.79,3,evergreen broadleaf
152,S157,Quercus agrifolia - Coast live oak,3/3/2022,DPA-010,Full leaf out,75-100% cover,,Tm,Tree,53.1,1.68,67.2,166.9833,0.012000601,10.49581975,13.9,1.52,2.66,4.3,5.9,1.13,33,243.8,387.7,5.9,17.3,234.5,248.6,197.9,224,130.1,-25.68,518.4,0.47,1.65,95.1077,9.5108,15.9,32.81,16.93,1.59,3.28,1.69,65.64,6.56,3,evergreen broadleaf
145,S181,Populus trichocarpa - Black cottonwood,3/9/2022,DPA-011,Full leaf out,75-100% cover,,Tm,Tree,68.42,1.16,34.5,71.5573,0.025375468,8.603946429,22.1,1.12,2.44,3.7,7,1.11,60.5,66.7,180.3,2.7,14.5,66.3,102.6,50.2,160,129.8,-26.36,527.4,-1.01,2.6,51.4591,5.1459,50.69,61.8,37.98,5.07,6.18,3.8,150.47,15.05,3,deciduous broadleaf
111,S184,Artemisia californica - California sagebrush,3/9/2022,DPA-012,Full leaf out,10-25% cover,NQ added; need chl from notebook,Qoa,Shrub,71.1,1.03,26,78.6788,0.001465452,10.74616463,19.9,2.96,2.92,17.5,7.2,2.65,29.7,87.7,262.9,12.3,32.8,47.6,13735.2,156,98,90,-26.76,516.1,0.8,1.86,90.4371,9.0437,14.8,11.8,9.65,1.48,1.18,0.96,36.25,3.62,3,shrub
112,S184,Rhus integrifolia - Lemonadeberry,3/9/2022,DPA-012,Full leaf out,1-10% cover,,Qoa,Shrub,53.55,1.34,45.9,355.6808,0.012241594,22.76265008,6.5,1.07,2.56,7.1,10.6,0.75,18.9,32.7,31.4,4,11.6,21.7,1373.4,24,138,254,-24.59,569.5,-0.34,0.78,157.6168,15.7617,14.47,17.54,6.61,1.45,1.75,0.66,38.62,3.86,3,shrub
113,S184,Baccharis pilularis - Coyote brush,3/9/2022,DPA-012,Full leaf out,10-25% cover,10% fractional cover,Qoa,Shrub,71.98,1.22,38.4,81.6422,0.003020497,11.6403334,24.9,2.26,2.41,20,5.5,2.14,46.8,78.8,194.5,15.1,30.7,39.1,12703.4,142.2,110,111.8,,,,,76.0449,7.6045,12.82,10.71,4.94,1.28,1.07,0.49,28.47,2.84,3,shrub
147,S184,Leptosyne gigantea - Giant coreopsis,3/9/2022,DPA-012,Full leaf out,10-25% cover,,Qoa,Shrub,90.49,1.08,29.4,87.3829,0.002042734,46.12790703,25.7,2.14,2.62,7,6.6,1.41,28.3,138.9,328.5,7.7,22,91,148.6,174,112,88,-28.51,426.7,2.43,2.98,33.6115,3.3612,37.8,29.86,46.91,3.78,2.99,4.69,114.57,11.46,3,shrub
148,S184,Leptosyne gigantea - Giant coreopsis,3/9/2022,DPA-012,Flowers,1-10% cover,,Qoa,Shrub,,,,,,,17.8,1.33,3.02,3.8,6.1,1.11,42.6,95.1,891.3,5.9,25.4,78.6,115.2,237.7,104,60.3,-25.42,486.4,1.04,2.19,95.8013,9.5801,11.94,45.79,49.33,1.19,4.58,4.93,107.06,10.7,3,shrub
114,S193,Hesperocyparis macrocarpa - Monterey cypress,3/9/2022,DPA-014,Full leaf out,75-100% cover,,Qoa,Tree,55.65,1.14,33.1,620.3376,0.002074677,43.21035345,7.9,0.98,3.25,8.6,10.9,1.13,13.5,241.8,159.4,3.5,9.9,226,3802.5,112.1,134,181.9,,,,,103.568,10.3568,11.63,15.54,9.62,1.16,1.55,0.96,36.79,3.67,3,conifer
115,S196,Hesperocyparis macrocarpa - Monterey cypress,3/9/2022,DPA-015,"Full leaf out, Flowers",75-100% cover,,Qoa,Tree,54.88,1.17,35.2,661.4301,0.002308483,44.65544105,6.3,0.79,3.26,6.9,12.5,1.02,13.5,251.2,153.4,2.7,8.1,279.4,4636.1,130.1,124,151.9,-25.04,536,3.73,0.89,90.525,9.0525,9.58,13.73,16.53,0.96,1.37,1.65,39.84,3.98,3,conifer
190,S208,Salix lasiolepis - Arroyo willow,3/9/2022,DPA-017,"Full leaf out, Flowers",75-100% cover,,Tsq,Tree,59.45,1.43,51.3,102.1489,0.013767158,8.312792155,34.9,2.98,2.32,10.3,3,1.77,15.8,109,74,7.9,30.3,89.9,241.6,75.7,50,110.3,-25.82,558.5,4.89,4.11,48.0756,4.8076,33.31,44.15,44.7,3.33,4.41,4.47,122.16,12.21,3,deciduous broadleaf
