"","species","prunedRF_spatVars_R2","prunedRF_notTraits_R2"
"1","Acorn.Woodpecker",0.456772786940097,0.43464444972174
"2","White.breasted.Nuthatch",0.27069824951246,0.241240093087237
"3","Clark.s.Nutcracker",0.310970252851106,0.310970252851106
"4","House.Wren",0.188420558014865,0.199021495700664
"5","White.headed.Woodpecker",0.362436111758376,0.307891296137711
"6","Swainson.s.Thrush",0.172857654432958,0.164092511675145
"7","Pacific.slope.Flycatcher",0.322991804733637,0.320625842252747
"8","Hermit.Warbler",0.378493878038343,0.34542377215218
"9","Purple.Finch",0.201257672485237,0.187510206521114
"10","Orange.crowned.Warbler",0.310233333560943,0.230983409652492
"11","Williamson.s.Sapsucker",0.146209055275893,0.250953220610705
"12","Mourning.Dove",0.572194725501101,0.535361932118927
"13","MacGillivray.s.Warbler",0.188950145135037,0.17929045928425
"14","Brewer.s.Blackbird",0.0140197232389801,0.0140197232389801
"15","Western.Bluebird",0.353463851418353,0.412696889181996
"16","Mountain.Quail",0.472276362847536,0.443014204352987
"17","Blue.gray.Gnatcatcher",0.0447440593754082,0.0447440593754082
"18","Lazuli.Bunting",0.312875630452963,0.304717085652669
"19","Yellow.rumped.Warbler",0.418955975645824,0.348261697644879
"20","Dark.eyed.Junco",0.108126608781603,0.139128700990268
"21","American.Robin",0.264540348694642,0.251058678624481
"22","House.Finch",0.614782675050776,0.614782675050776
"23","Northern.Flicker",0.06901105754984,0.084360557530245
"24","Western.Tanager",0.264638748067844,0.267446423736852
"25","Red.breasted.Nuthatch",0.495585803761057,0.442095968759017
"26","Mountain.Bluebird",0.365815363963519,0.371811897402395
"27","Warbling.Vireo",0.0079759326511393,0.00827415119087607
"28","Common.Poorwill",0.0775957847082548,0.0865270055061323
"29","Black.headed.Grosbeak",0.487654840949247,0.461561852070812
"30","Mountain.Chickadee",0.590496425066752,0.571144120986602
"31","Brown.Creeper",0.23342538787266,0.207370147905143
"32","Nashville.Warbler",0.0818316880172552,0.0739574731346301
"33","Evening.Grosbeak",0.391367292698258,0.280613809745841
"34","Band.tailed.Pigeon",0.229005617563082,0.170397829308834
"35","Pileated.Woodpecker",0.3010852675173,0.268804534359319
"36","Dusky.Flycatcher",0.217751097725853,0.223515695242221
"37","Red.naped.Sapsucker",0.0645949197932238,0.0594478474185337
"38","Pine.Siskin",0.279599568018985,0.286352068413941
"39","Red.tailed.Hawk",0.0504554275588849,0.0663024827612635
"40","Olive.sided.Flycatcher",0.148971203978284,0.147531144186015
"41","Oak.Titmouse",0.666238666189249,0.659446967917417
"42","Common.Nighthawk",0.374483088171352,0.374483088171352
"43","Fox.Sparrow",0.213808985718788,0.23007192610297
"44","Red.breasted.Sapsucker",0.126155279221621,0.1372411515238
"45","California.Scrub.Jay",0.580203442408376,0.565044315347439
"46","American.Kestrel",0.37506182660529,0.514719322453398
"47","Red.Crossbill",0.226729637884795,0.21889807549529
"48","Golden.crowned.Kinglet",0.502030572579728,0.447211219618951
